game_id,player_x_id,player_o_id,move_id,pre_state,move,post_state
11,2,7,6,ox-o--xx-,5,ox-o-oxx-
11,2,7,7,ox-o-oxx-,4,ox-oxoxx-
12,2,7,1,---------,1,-x-------
12,2,7,2,-x-------,0,ox-------
12,2,7,3,ox-------,3,ox-x-----
12,2,7,4,ox-x-----,4,ox-xo----
12,2,7,5,ox-xo----,8,ox-xo---x
12,2,7,6,ox-xo---x,7,ox-xo--ox
12,2,7,7,ox-xo--ox,2,oxxxo--ox
12,2,7,8,oxxxo--ox,6,oxxxo-oox
12,2,7,9,oxxxo-oox,5,oxxxoxoox
13,2,7,1,---------,7,-------x-
13,2,7,2,-------x-,0,o------x-
13,2,7,3,o------x-,6,o-----xx-
13,2,7,4,o-----xx-,1,oo----xx-
13,2,7,5,oo----xx-,2,oox---xx-
13,2,7,6,oox---xx-,4,oox-o-xx-
13,2,7,7,oox-o-xx-,8,oox-o-xxx
14,2,7,1,---------,8,--------x
14,2,7,2,--------x,0,o-------x
14,2,7,3,o-------x,2,o-x-----x
14,2,7,4,o-x-----x,1,oox-----x
14,2,7,5,oox-----x,3,ooxx----x
14,2,7,6,ooxx----x,4,ooxxo---x
14,2,7,7,ooxxo---x,5,ooxxox--x
15,2,7,1,---------,8,--------x
15,2,7,2,--------x,0,o-------x
15,2,7,3,o-------x,2,o-x-----x
15,2,7,4,o-x-----x,6,o-x---o-x
15,2,7,5,o-x---o-x,5,o-x--xo-x
16,2,1,1,---------,2,--x------
16,2,1,2,--x------,0,o-x------
16,2,1,3,o-x------,5,o-x--x---
16,2,1,4,o-x--x---,6,o-x--xo--
16,2,1,5,o-x--xo--,3,o-xx-xo--
16,2,1,6,o-xx-xo--,8,o-xx-xo-o
16,2,1,7,o-xx-xo-o,4,o-xxxxo-o
17,2,1,1,---------,0,x--------
17,2,1,2,x--------,1,xo-------
17,2,1,3,xo-------,3,xo-x-----
17,2,1,4,xo-x-----,8,xo-x----o
17,2,1,5,xo-x----o,4,xo-xx---o
17,2,1,6,xo-xx---o,7,xo-xx--oo
17,2,1,7,xo-xx--oo,5,xo-xxx-oo
18,2,1,1,---------,3,---x-----
18,2,1,2,---x-----,1,-o-x-----
18,2,1,3,-o-x-----,0,xo-x-----
18,2,1,4,xo-x-----,2,xoox-----
18,2,1,5,xoox-----,4,xooxx----
18,2,1,6,xooxx----,5,xooxxo---
18,2,1,7,xooxxo---,6,xooxxox--
19,2,1,1,---------,4,----x----
19,2,1,2,----x----,2,--o-x----
19,2,1,3,--o-x----,0,x-o-x----
19,2,1,4,x-o-x----,3,x-oox----
19,2,1,5,x-oox----,1,xxoox----
19,2,1,6,xxoox----,6,xxoox-o--
19,2,1,7,xxoox-o--,5,xxooxxo--
19,2,1,8,xxooxxo--,7,xxooxxoo-
19,2,1,9,xxooxxoo-,8,xxooxxoox
20,2,1,1,---------,0,x--------
20,2,1,2,x--------,1,xo-------
20,2,1,3,xo-------,3,xo-x-----
20,2,1,4,xo-x-----,6,xo-x--o--
20,2,1,5,xo-x--o--,4,xo-xx-o--
20,2,1,6,xo-xx-o--,2,xooxx-o--
20,2,1,7,xooxx-o--,5,xooxxxo--
21,2,6,1,---------,0,x--------
21,2,6,2,x--------,2,x-o------
21,2,6,3,x-o------,3,x-ox-----
21,2,6,4,x-ox-----,8,x-ox----o
21,2,6,5,x-ox----o,5,x-ox-x--o
21,2,6,6,x-ox-x--o,1,xoox-x--o
21,2,6,7,xoox-x--o,4,xooxxx--o
22,2,6,1,---------,4,----x----
22,2,6,2,----x----,0,o---x----
22,2,6,3,o---x----,1,ox--x----
22,2,6,4,ox--x----,3,ox-ox----
22,2,6,5,ox-ox----,6,ox-ox-x--
22,2,6,6,ox-ox-x--,2,oxoox-x--
22,2,6,7,oxoox-x--,7,oxoox-xx-
23,2,6,1,---------,1,-x-------
23,2,6,2,-x-------,0,ox-------
23,2,6,3,ox-------,3,ox-x-----
23,2,6,4,ox-x-----,4,ox-xo----
23,2,6,5,ox-xo----,8,ox-xo---x
23,2,6,6,ox-xo---x,2,oxoxo---x
23,2,6,7,oxoxo---x,6,oxoxo-x-x
23,2,6,8,oxoxo-x-x,7,oxoxo-xox
23,2,6,9,oxoxo-xox,5,oxoxoxxox
24,2,6,1,---------,3,---x-----
24,2,6,2,---x-----,0,o--x-----
24,2,6,3,o--x-----,1,ox-x-----
24,2,6,4,ox-x-----,4,ox-xo----
24,2,6,5,ox-xo----,8,ox-xo---x
24,2,6,6,ox-xo---x,2,oxoxo---x
24,2,6,7,oxoxo---x,6,oxoxo-x-x
24,2,6,8,oxoxo-x-x,7,oxoxo-xox
24,2,6,9,oxoxo-xox,5,oxoxoxxox
25,2,6,1,---------,3,---x-----
25,2,6,2,---x-----,0,o--x-----
25,2,6,3,o--x-----,1,ox-x-----
25,2,6,4,ox-x-----,4,ox-xo----
25,2,6,5,ox-xo----,8,ox-xo---x
25,2,6,6,ox-xo---x,2,oxoxo---x
25,2,6,7,oxoxo---x,6,oxoxo-x-x
25,2,6,8,oxoxo-x-x,7,oxoxo-xox
25,2,6,9,oxoxo-xox,5,oxoxoxxox
26,2,10,1,---------,5,-----x---
26,2,10,2,-----x---,1,-o---x---
26,2,10,3,-o---x---,2,-ox--x---
26,2,10,4,-ox--x---,6,-ox--xo--
26,2,10,5,-ox--xo--,3,-oxx-xo--
26,2,10,6,-oxx-xo--,7,-oxx-xoo-
26,2,10,7,-oxx-xoo-,4,-oxxxxoo-
27,2,10,1,---------,1,-x-------
27,2,10,2,-x-------,6,-x----o--
27,2,10,3,-x----o--,0,xx----o--
27,2,10,4,xx----o--,2,xxo---o--
27,2,10,5,xxo---o--,4,xxo-x-o--
